Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/batch/28ed2350-2372-417a-ac3c-9cdba6927c13,13,0,5,19.503638462293356,2.3577000029035844,131.2988999998197,2914.230769230769,0.01873540425604031,0.0,5,11,12,18,45,130,130,130,130,130,130
GET,/batch/291c4688-c71b-4a30-b683-57bbf7d22a76,8,0,4,9.381212501466507,3.3451999988756143,21.55240000138292,4453.75,0.011529479542178653,0.0,5,11,21,21,22,22,22,22,22,22,22
GET,/batch/2996008b-80d9-4d95-9e65-158c15d11e82,10,0,6,56.62190000075498,2.923600004578475,180.21620000217808,3213.0,0.014411849427723316,0.0,11,88,94,170,180,180,180,180,180,180,180
GET,/batch/2a64bc54-4e27-4dff-8eef-d1dcfbf9ee31,7,0,5,6.677028571305398,3.516900003887713,16.986299997370224,4417.142857142857,0.01008829459940632,0.0,5,5,8,8,17,17,17,17,17,17,17
GET,/batch/2b90d89e-5025-47db-a859-74d890af318b,9,0,4,13.64402222437396,2.57430000056047,44.599799999559764,3334.1111111111113,0.012970664484950984,0.0,4,5,13,44,45,45,45,45,45,45,45
GET,/batch/2d3655ee-b951-47f2-8e06-ffdaeb22f1f9,7,0,5,10.009157141861838,3.1103000001166947,40.711100002226885,3864.1428571428573,0.01008829459940632,0.0,5,6,9,9,41,41,41,41,41,41,41
GET,/batch/2eb7f116-14c6-451c-88ee-6e79a9ddd08e,10,0,4,88.5322800007998,2.9641999935847707,402.93510000628885,2454.7,0.014411849427723316,0.0,8,14,110,330,400,400,400,400,400,400,400
GET,/batch/2ed51590-00dc-4001-98a3-768a01689af2,6,0,4,8.352749999176012,3.8637999969068915,28.1503000005614,2158.1666666666665,0.00864710965663399,0.0,5,5,5,5,28,28,28,28,28,28,28
GET,/batch/2f8c2711-2eea-4126-9895-ae65bb2c5e4a,6,0,4,16.186450000532204,3.3269999985350296,75.7519000035245,3497.3333333333335,0.00864710965663399,0.0,4,4,6,6,76,76,76,76,76,76,76
GET,/batch/2ffdf896-8c1c-42d6-8991-9f7c798810e3,7,0,4,21.96575714125564,3.2102999975904822,130.5817999964347,4065.1428571428573,0.01008829459940632,0.0,4,4,5,5,130,130,130,130,130,130,130
